date,construction,manufacturing,retail_trade,total_nonfarm,transportation_warehousing,year,month,manufacturing_yoy_pct,retail_trade_yoy_pct,transportation_warehousing_yoy_pct,construction_yoy_pct,total_nonfarm_yoy_pct
2010-04-01,5553.0,11475.0,14388.3,130120.0,4147.1,2010,4,-4.510277107431138,-0.9793126230162597,-2.542711442201484,-9.766005849853753,-1.2911350153995582
2010-05-01,5520.0,11511.0,14396.5,130642.0,4158.3,2010,5,-2.8607594936708836,-0.8157135081881317,-1.8667107188370058,-9.50819672131148,-0.6267780262577349
2010-06-01,5516.0,11529.0,14399.4,130510.0,4175.2,2010,6,-1.570904123623329,-0.7054345352613955,-1.0569221290108621,-8.219633943427617,-0.3801294577430392
2010-07-01,5508.0,11546.0,14402.2,130415.0,4192.6,2010,7,-0.9267204393341388,-0.3087188858432177,-0.13339050069075542,-7.14767363452461,-0.1890373635793141
2010-08-01,5524.0,11538.0,14414.1,130415.0,4188.9,2010,8,-0.6372717878057155,-0.17037544931330917,0.02626677491759377,-5.6532877882152,-0.0436875344901555
2010-09-01,5501.0,11549.0,14420.3,130341.0,4206.3,2010,9,-0.26770293609671425,0.09509530354141482,0.6412250269171027,-4.942111629514434,0.07293890023494232
2010-10-01,5508.0,11548.0,14462.1,130620.0,4216.4,2010,10,0.18218096642665937,0.7236283099552931,1.26326912916086,-3.638908327501744,0.4297983254011539
2010-11-01,5506.0,11571.0,14446.3,130749.0,4225.3,2010,11,0.6348930248738949,0.7384731248779586,1.6112353606041019,-3.33567415730337,0.5320743981485077
2010-12-01,5467.0,11579.0,14444.5,130830.0,4250.1,2010,12,0.9943305713039585,0.9462509871340563,3.449031253042567,-3.3073929961089488,0.7873166522864627
2011-01-01,5427.0,11606.0,14491.0,130837.0,4217.3,2011,1,1.389010221018605,0.920689751232695,2.138532332283849,-2.741935483870972,0.7973682994098619
2011-02-01,5451.0,11637.0,14518.2,131057.0,4248.2,2011,2,1.730920535011804,1.1171627965287367,2.8769312733084806,-0.8909090909090867,1.041586356837776
2011-03-01,5477.0,11659.0,14537.9,131283.0,4258.7,2011,3,1.9232450389019995,1.012353913925601,2.847275888717138,-1.083619288423332,1.0911246977653999
